network;Device;Adresse-IP;Racine-nom-CVS;Numversion:1.7;DateRevision: 28/07/2022
NANOSCOPIUM;I13-LN-C00/CA/BAI.1504-MOS.1-CB;172.20.27.52;B1504_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1504-MOS.2-CB;172.20.27.53;B1504_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1504-MOS.3-CB;172.20.27.54;B1504_MOS3_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1504-MOS.5-CB;172.20.27.56;B1504_MOS5_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1505-MOS.1-CB;172.20.27.57;B1505_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1505-MOS.2-CB;172.20.27.58;B1505_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1513-MOS.1-CB;0.0.0.0;B1513_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1513-MOS.2-CB;172.20.27.76;B1513_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1513-MOS.3-CB;172.20.27.77;B1513_MOS3_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1513-MOS.4-CB;0.0.0.0;B1513_MOS4_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1513-MOS.5-CB;172.20.27.79;B1513_MOS5_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1514-MOS.1-CB;0.0.0.0;B1514_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1514-MOS.2-CB;0.0.0.0;B1514_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1514-MOS.3-CB;0.0.0.0;B1514_MOS3_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1514-MOS.4-CB;0.0.0.0;B1514_MOS4_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1514-MOS.5-CB;0.0.0.0;B1514_MOS5_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1515-MOS.1-CB;172.20.27.81;B1515_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1515-MOS.2-CB;172.20.27.82;B1515_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1515-MOS.3-CB;172.20.27.83;B1515_MOS3_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1515-MOS.4-CB;172.20.27.84;B1515_MOS4_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1518-MOS.1-CB;172.20.27.95;B1518_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1520-MOS.1-CB;172.20.27.92;B1520_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1521-MOS.1-CB;172.20.27.65;B1521_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1522-MOS.1-CB;172.20.27.60;B1522_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1522-MOS.2-CB;172.20.27.61;B1522_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1522-MOS.3-CB;172.20.27.62;B1522_MOS3_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1522-MOS.4-CB;172.20.27.63;B1522_MOS4_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1523-MOS.1-CB;172.20.27.70;B1523_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1523-MOS.2-CB;172.20.27.71;B1523_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1523-MOS.3-CB;172.20.27.72;B1523_MOS3_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1523-MOS.4-CB;172.20.27.73;B1523_MOS4_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1524-MOS.1-CB;172.20.27.80;B1524_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1524-MOS.2-CB;172.20.27.88;B1524_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1525-MOS.2-CB;172.20.27.90;B1525_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1526-MOS.1-CB;172.20.27.91;B1526_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1526-MOS.2-CB;172.20.27.96;B1526_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1527-MOS.1-CB;172.20.27.94;B1527_MOS1_parameters;;
;;;;;
ODE;D01-1-C00/CA/BAI.1024-MOS.1-CB;172.20.18.48;B1024_MOS1_parameters;;
ODE;D01-1-C00/CA/BAI.1024-MOS.2-CB;172.20.18.49;B1024_MOS2_parameters;;
ODE;D01-1-C00/CA/BAI.1024-MOS.3-CB;172.20.18.50;B1024_MOS3_parameters;;
ODE;D01-1-C00/CA/BAI.1024-MOS.4-CB;172.20.18.51;B1024_MOS4_parameters;;
ODE;D01-1-C00/CA/BAI.1024-MOS.5-CB;172.20.18.52;B1024_MOS5_parameters;;
ODE;D01-1-C00/CA/BAI.1025-MOS.1-CB;172.20.18.53;B1025_MOS1_parameters;;
ODE;D01-1-C00/CA/BAI.1025-MOS.2-CB;172.20.18.54;B1025_MOS2_parameters;;
ODE;D01-1-C00/CA/BAI.1025-MOS.3-CB;172.20.18.55;B1025_MOS3_parameters;;
ODE;D01-1-C00/CA/BAI.1025-MOS.4-CB;172.20.18.56;B1025_MOS4_parameters;;
ODE;D01-1-C00/CA/BAI.1025-MOS.5-CB;172.20.18.57;B1025_MOS5_parameters;;
;;;;;
PLEIADES;I04-M-C00/CA/BAI.1262-MOS.1-CB;172.20.3.48;B1262_MOS1_parameters;;
PLEIADES;I04-M-C00/CA/BAI.1262-MOS.2-CB;172.20.3.49;B1262_MOS2_parameters;;
PLEIADES;I04-M-C00/CA/BAI.1262-MOS.3-CB;172.20.3.50;B1262_MOS3_parameters;;
PLEIADES;I04-M-C00/CA/BAI.1262-MOS.4-CB;172.20.3.51;B1262_MOS4_parameters;;
PLEIADES;I04-M-C00/CA/MINI_BAI-MOS.1-CB;172.20.3.54;B1267_MOS1-MINI_BAI_parameters;;
PLEIADES;I04-M-C00/CA/BAI.BATI5-MOS1.1-CB;172.20.3.53;BATI5-MOS1_parameters;;
PLEIADES;I04-M-C00/CA/MPSC-MOS.1-CB;172.20.3.52;MPSC_MOS1_parameters;;
;;;;;
PX1;I10-C-C00/CA/BAI.1141-MOS.1-CB;172.20.11.48;B1141_MOS1_parameters;;
PX1;I10-C-C00/CA/BAI.1142-MOS.1-CB;172.20.11.49;B1142_MOS1_parameters;;
PX1;I10-C-C00/CA/BAI.1142-MOS.2-CB;172.20.11.50;B1142_MOS2_parameters;;
PX1;I10-C-C00/CA/BAI.1142-MOS.3-cb;172.20.11.58;B1142_MOS3_parameters;;
PX1;I10-C-C00/CA/BAI.1143-MOS.1-CB;172.20.11.51;B1143_MOS1_parameters;;
PX1;I10-C-C00/CA/BAI.1143-MOS.2-CB;172.20.11.52;B1143_MOS2_parameters;;
PX1;I10-C-C00/CA/BAI.1143-MOS.3-CB;172.20.11.53;B1143_MOS3_parameters;;
PX1;I10-C-C00/CA/BAI.1143-MOS.4-CB;172.20.11.54;B1143_MOS4_parameters;;
PX1;I10-C-C00/CA/BAI.1143-MOS.5-CB;172.20.11.55;B1143_MOS5_parameters;;
PX1;I10-C-C00/CA/BAI.1146-MOS.1-CB;172.20.11.60;B1146_MOS1_parameters;;
PX1;I10-C-C00/CA/BAI.1147-MOS.1-CB;172.20.11.61;B1147_MOS1_parameters;;
;;;;;
PX2;I11-MA-C00/CA/BAI.1361-MOS.2-CB;172.20.10.48;B1361_MOS2_parameters;;
PX2;I11-MA-C00/CA/BAI.1362-MOS.1-CB;172.20.10.49;B1362_MOS1_parameters;;
PX2;I11-MA-C00/CA/BAI.1362-MOS.2-CB;172.20.10.50;B1362_MOS2_parameters;;
PX2;I11-MA-C00/CA/BAI.1362-MOS.3-CB;172.20.10.51;B1362_MOS3_parameters;;
PX2;I11-MA-C00/CA/BAI.1363-MOS.1-CB;172.20.10.52;B1363_MOS1_parameters;;
PX2;I11-MA-C00/CA/BAI.1363-MOS.2-CB;172.20.10.53;B1363_MOS2_parameters;;
PX2;I11-MA-C00/CA/BAI.1363-MOS.3-CB;172.20.10.54;B1363_MOS3_parameters;;
PX2;I11-MA-C00/CA/BAI.1363-MOS.4-CB;172.20.10.61;B1363_MOS4_parameters;;
PX2;I11-MA-C00/CA/BAI.1363-MOS.5-CB;172.20.10.62;B1363_MOS5_parameters;;
PX2;I11-MA-C00/CA/BAI.1364-MOS.1;172.20.10.55;B1364_MOS1_parameters;;
PX2;I11-MA-C00/CA/BAI.1364-MOS.2;172.20.10.56;B1364_MOS2_parameters;;
PX2;I11-MA-C00/CA/BAI.1364-MOS.3;172.20.10.57;B1364_MOS3_parameters;;
PX2;I11-MA-C00/CA/BAI.1364-MOS.4;172.20.10.59;B1364_MOS4_parameters;;
PX2;I11-MA-C00/CA/BAI.1364-MOS.5-CB;172.20.10.58;B1364_MOS5_parameters;;
PX2;I11-MA-C00/CA/BAI.1365-MOS.1;172.20.10.60;B1365_MOS1_parameters;;
;;;;;
PSICHE;I03-C-C00/CA/BAI.1401-MOS.1-CB;172.20.2.48;B1401_MOS1_parameters;;
PSICHE;I03-C-C00/CA/BAI.1401-MOS.2-CB;172.20.2.49;B1401_MOS2_parameters;;
PSICHE;I03-C-C00/CA/BAI.1401-MOS.3-CB;172.20.2.50;B1401_MOS3_parameters;;
PSICHE;I03-C-C00/CA/BAI.1401-MOS.4-CB;172.20.2.51;B1401_MOS4_parameters;;
PSICHE;I03-C-C00/CA/BAI.1402-MOS.1-CB;172.20.2.52;B1402_MOS1_parameters;;
PSICHE;I03-C-C00/CA/BAI.1402-MOS.2-CB;172.20.2.53;B1402_MOS2_parameters;;
PSICHE;I03-C-C00/CA/BAI.1402-MOS.3-CB;172.20.2.54;B1402_MOS3_parameters;;
PSICHE;I03-C-C00/CA/BAI.1402-MOS.4-CB;172.20.2.55;B1402_MOS4_parameters;;
PSICHE;I03-C-C00/CA/BAI.1402-MOS.5-CB;172.20.2.56;B1402_MOS5_parameters;;
PSICHE;I03-C-C00/CA/BAI.1403-MOS.1-CB;172.20.2.57;B1403_MOS1_parameters;;
PSICHE;I03-C-C00/CA/BAI.1403-MOS.2-CB;172.20.2.58;B1403_MOS2_parameters;;
PSICHE;I03-C-C00/CA/BAI.1403-MOS.3-CB;172.20.2.59;B1403_MOS3_parameters;;
PSICHE;I03-C-C00/CA/BAI.1403-MOS.4-CB;172.20.2.60;B1403_MOS4_parameters;;
PSICHE;I03-C-C00/CA/BAI.1403-MOS.5-CB;172.20.2.61;B1403_MOS5_parameters;;
PSICHE;I03-C-C00/CA/BAI.1404-MOS.2-CB;172.20.2.63;B1404_MOS2_parameters;;
PSICHE;I03-C-C00/CA/BAI.1404-MOS.3-CB;172.20.2.64;B1404_MOS3_parameters;;
PSICHE;I03-C-C00/CA/BAI.1404-MOS.4-CB;172.20.2.65;B1404_MOS4_parameters;;
PSICHE;i03-c-c00/ca/bai.1404-mos.5-cb;172.20.2.67;B1404_MOS5_parameters;;
PSICHE;I03-C-C00/CA/BAI.1406-MOS.1-CB;172.20.2.62;B1406_MOS1_parameters;;
PSICHE;i03-c-c00/ca/bai.1406-mos.2-cb;172.20.2.66;B1406_MOS2_parameters;;
;;;;;
PUMA;I06-M-C00/CA/BAI.1582-MOS.1-CB;172.20.30.48;B1582_MOS1_parameters;;
PUMA;I06-M-C00/CA/BAI.1582-MOS.2-CB;172.20.30.49;B1582_MOS2_parameters;;
PUMA;I06-M-C00/CA/BAI.1582-MOS.3-CB;172.20.30.50;B1582_MOS3_parameters;;
PUMA;I06-M-C00/CA/BAI.1582-MOS.4-CB;172.20.30.51;B1582_MOS4_parameters;;
PUMA;I06-M-C00/CA/BAI.1583-MOS.1-CB;172.20.30.52;B1583_MOS1_parameters;;
PUMA;I06-M-C00/CA/BAI.1583-MOS.2-CB;172.20.30.53;B1583_MOS2_parameters;;
PUMA;I06-M-C00/CA/BAI.1585-MOS.1-CB;172.20.30.54;B1585_MOS1_parameters;;
PUMA;I06-M-C00/CA/BAI.1585-MOS.2-CB;172.20.30.55;B1585_MOS2_parameters;;
PUMA;I06-M-C00/CA/BAI.1585-MOS.3-CB;172.20.30.56;B1585_MOS3_parameters;;
PUMA;I06-M-C00/CA/BAI.1585-MOS.4-CB;172.20.30.57;B1585_MOS4_parameters;;
PUMA;I06-M-C00/CA/BAI.1585-MOS.5-CB;172.20.30.58;B1585_MOS5_parameters;;
PUMA;I06-M-C00/CA/BAI.1586-MOS.1-CB;172.20.30.59;B1586_MOS1_parameters;;
PUMA;I06-M-C00/CA/BAI.1586-MOS.2-CB;172.20.30.60;B1586_MOS2_parameters;;
;;;;;
ROCK;D12-1-C00/CA/BAI.1562-MOS.1-CB;172.20.31.48;B1562_MOS1_parameters;;
ROCK;D12-1-C00/CA/BAI.1562-MOS.2-CB;172.20.31.49;B1562_MOS2_parameters;;
ROCK;D12-1-C00/CA/BAI.1563-MOS.1-CB;172.20.31.51;B1563_MOS1_parameters;;
ROCK;D12-1-C00/CA/BAI.1563-MOS.2-CB;172.20.31.52;B1563_MOS2_parameters;;
ROCK;D12-1-C00/CA/BAI.1563-MOS.3-CB;172.20.31.53;B1563_MOS3_parameters;;
ROCK;D12-1-C00/CA/BAI.1563-MOS.4-CB;172.20.31.54;B1563_MOS4_parameters;;
ROCK;D12-1-C00/CA/BAI.1566-MOS.1-CB;172.20.31.56;B1566_MOS1_parameters;;
ROCK;D12-1-C00/CA/BAI.1566-MOS.2-CB;172.20.31.57;B1566_MOS2_parameters;;
ROCK;D12-1-C00/CA/BAI.1566-MOS.3-CB;172.20.31.58;B1566_MOS3_parameters;;
;;;;;
SAMBA;D09-1-C00/CA/BAI.1120-MOS.1-CB;172.20.9.48;B1120_MOS1_parameters;;
SAMBA;D09-1-C00/CA/BAI.1120-MOS.2-CB;172.20.9.49;B1120_MOS2_parameters;;
SAMBA;D09-1-C00/CA/BAI.1120-MOS.3-CB;172.20.9.50;B1120_MOS3_parameters;;
SAMBA;D09-1-C00/CA/BAI.1124-MOS.1-CB;172.20.9.54;B1124_MOS1_parameters;;
SAMBA;D09-1-C00/CA/BAI.1124-MOS.2-CB;172.20.9.55;B1124_MOS2_parameters;;
SAMBA;D09-1-C00/CA/BAI.1124-MOS.3-CB;172.20.9.56;B1124_MOS3_parameters;;
SAMBA;D09-1-C00/CA/BAI.1128-MOS.1-CB;172.20.9.59;B1128_MOS1_parameters;;
SAMBA;D09-1-C00/CA/BAI.1132-MOS.1-CB;172.20.9.57;B1132_MOS1_parameters;;
;;;;;
SEXTANTS;I14-M-C00/CA/BAI.1422-MOS.1-CB;172.20.13.51;B1422_MOS1_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1422-MOS.2-CB;172.20.13.55;B1422_MOS2_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1422-mos.3-cb;172.20.13.60;B1422_MOS3_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1424-MOS.1-CB;172.20.13.48;B1424_MOS1_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1424-MOS.2-CB;172.20.13.49;B1424_MOS2_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1425-MOS.1-CB;172.20.13.50;B1425_MOS1_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1426-MOS.1-CB;172.20.13.52;B1426_MOS1_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1426-MOS.2-CB;172.20.13.53;B1426_MOS2_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1427-MOS.1-CB;172.20.13.54;B1427_MOS1_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1427-MOS.2-CB;172.20.13.65;B1427_MOS2_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1428-MOS.1-CB;172.20.13.56;B1428_MOS1_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1428-MOS.2-CB;172.20.13.57;B1428_MOS2_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1428-MOS.3-CB;172.20.13.61;B1428_MOS3_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1429-MOS.1-CB;172.20.13.58;B1429_MOS1_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1429-MOS.2-CB;172.20.13.59;B1429_MOS2_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1429-MOS.3-CB;172.20.13.62;B1429_MOS3_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1431-MOS.1-CB;172.20.13.63;B1431_MOS1_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1431-MOS.2-CB;172.20.13.66;B1431_MOS2_parameters;;
SEXTANTS;I14-M-C00/CA/BAI.1432-MOS.1-CB;172.20.13.64;B1432_MOS1_parameters;;
;;;;;
SIRIUS;I15-C-C00/CA/BAI.1381-MOS.1-CB;172.20.21.53;B1381_MOS1_parameters;;
SIRIUS;I15-C-C00/CA/BAI.1382-MOS.1-CB;172.20.21.54;B1382_MOS1_parameters;;
SIRIUS;I15-C-C00/CA/BAI.1382-MOS.2-CB;172.20.21.55;B1382_MOS2_parameters;;
SIRIUS;I15-C-C00/CA/BAI.1382-MOS.3-CB;172.20.21.56;B1382_MOS3_parameters;;
SIRIUS;I15-C-C00/CA/BAI.1384-MOS.1-CB;172.20.21.57;B1384_MOS1_parameters;;
SIRIUS;I15-C-C00/CA/BAI.1384-MOS.2-CB;172.20.21.58;B1384_MOS2_parameters;;
SIRIUS;I15-C-C00/CA/BAI.1384-MOS.3-CB;172.20.21.59;B1384_MOS3_parameters;;
SIRIUS;I15-C-C00/CA/BAI.1384-MOS.4-CB;172.20.21.60;B1384_MOS4_parameters;;
SIRIUS;I15-C-C00/CA/BAI.1385-MOS.1-CB;172.20.21.61;B1385_MOS1_parameters;;
SIRIUS;I15-C-C00/CA/BAI.1385-MOS.2-CB;172.20.21.62;B1385_MOS2_parameters;;
SIRIUS;I15-C-C00/CA/BAI.1385-MOS.3-CB;172.20.21.63;B1385_MOS3_parameters;;
SIRIUS;I15-C-C00/CA/BAI.1385-MOS.4-CB;172.20.21.64;B1385_MOS4_parameters;;
SIRIUS;I15-C-C00/CA/BAI.1387-MOS.1-CB;172.20.21.65;B1387_MOS1_parameters;;
SIRIUS;I15-C-C00/CA/BAI.1387-MOS.2-CB;172.20.21.68;B1387_MOS2_parameters;;
SIRIUS;I15-C-C00/CA/BAI.1389-MOS.1-CB;172.20.21.67;B1389_MOS1_parameters;;
;;;;;
SIXS;I14-C-C00/CA/BAI.1462-MOS.1-CB;172.20.23.51;B1462_MOS1_parameters;;
SIXS;I14-C-C00/CA/BAI.1462-MOS.2-CB;172.20.23.52;B1462_MOS2_parameters;;
SIXS;I14-C-C00/CA/BAI.1462-MOS.3-CB;172.20.23.53;B1462_MOS3_parameters;;
SIXS;I14-C-C00/CA/BAI.1462-MOS.4-CB;172.20.23.54;B1462_MOS4_parameters;;
SIXS;I14-C-C00/CA/BAI.1462-MOS.5-CB;172.20.23.55;B1462_MOS5_parameters;;
SIXS;I14-C-C00/CA/BAI.1463-MOS.1-CB;172.20.23.63;B1463_MOS1_parameters;;
SIXS;I14-C-C00/CA/BAI.1463-MOS.2-CB;172.20.23.65;B1463_MOS2_parameters;;
SIXS;I14-C-C00/CA/BAI.1463-MOS.3-CB;172.20.23.66;B1463_MOS3_parameters;;
SIXS;I14-C-C00/CA/BAI.1463-MOS.4-CB;172.20.23.64;B1463_MOS4_parameters;;
SIXS;I14-C-C00/CA/BAI.1463-MOS.5-CB;172.20.23.67;B1463_MOS5_parameters;;
SIXS;I14-C-C00/CA/BAI.1464-MOS.1-CB;172.20.23.56;B1464_MOS1_parameters;;
SIXS;I14-C-C00/CA/BAI.1464-MOS.2-CB;172.20.23.57;B1464_MOS2_parameters;;
SIXS;I14-C-C00/CA/BAI.1470-MOS.1-CB;172.20.23.62;B1470_MOS1_parameters;;
;;;;;
SMIS;D02-IR-C00/CA/BAI.1040-MOS.1-CB;172.20.19.48;B1040_MOS1_parameters;;
SMIS;D02-IR-C00/CA/BAI.1040-MOS.2-CB;172.20.19.49;B1040_MOS2_parameters;;
SMIS;D02-IR-C00/CA/BAI.1041-MOS.1-CB;172.20.19.50;B1041_MOS1_parameters;;
;;;;;
SWING;I11-C-C00/CA/BAI.1160-MOS.1-CB;172.20.12.48;B1160_MOS1_parameters;;
SWING;I11-C-C00/CA/BAI.1160-MOS.2-CB;172.20.12.49;B1160_MOS2_parameters;;
SWING;I11-C-C00/CA/BAI.1160-MOS.3-CB;172.20.12.50;B1160_MOS3_parameters;;
SWING;I11-C-C00/CA/BAI.1161-MOS.1-CB;172.20.12.51;B1161_MOS1_parameters;;
SWING;I11-C-C00/CA/BAI.1161-MOS.2-CB;172.20.12.52;B1161_MOS2_parameters;;
SWING;I11-C-C00/CA/BAI.1163-MOS.1-CB;172.20.12.53;B1163_MOS1_parameters;;
SWING;I11-C-C00/CA/BAI.1163-MOS.2-CB;172.20.12.54;B1163_MOS2_parameters;;
SWING;I11-C-C00/CA/BAI.1163-MOS.3-CB;172.20.12.55;B1163_MOS3_parameters;;
SWING;I11-C-C00/CA/BAI.1163-MOS.4-CB;172.20.12.60;B1163_MOS4_parameters;;
SWING;I11-C-C00/CA/BAI.1163-MOS.5-CB;172.20.12.61;B1163_MOS5_parameters;;
SWING;I11-C-C00/CA/BAI.1164-MOS.1-CB;172.20.12.56;B1164_MOS1_parameters;;
SWING;I11-C-C00/CA/BAI.1164-MOS.2-CB;172.20.12.57;B1164_MOS2_parameters;;
SWING;I11-C-C00/CA/BAI.1164-MOS.3-CB;172.20.12.58;B1164_MOS3_parameters;;
;;;;;
TEMPO;I08-M-C00/CA/BAI.1201-MOS.1-CB;172.20.15.48;B1201_MOS1_parameters;;
TEMPO;I08-M-C00/CA/BAI.1201-MOS.2-CB;172.20.15.49;B1201_MOS2_parameters;;
TEMPO;I08-M-C00/CA/BAI.1203-MOS.1-CB.l;172.20.15.50;B1203_MOS1_parameters;;
TEMPO;I08-M-C00/CA/BAI.1205-MOS.1-CB;172.20.15.51;B1205_MOS1_parameters;;
;;;;;
ISAC;plop;172.16.3.65;Labo_ISAC_CB1_parameters;;
ISAC;plop;172.16.3.68;Labo_ISAC_CB2_parameters;;
ISAC;plop;172.16.3.266;Labo_ISAC_CBError;;
